器,器 utensil  キ  うつわ
収,収 supply  シュウ  おさ.める to supply; to pay; to achieve; to obtain
段,段 grade  ダン
異,異 different  イ  こと
血,血 blood  ケツ  ち
護,護 defend  ゴ
紙,紙 paper  シ  かみ
俺,"俺 me  おれ me, I"
歌,歌 sing  カ  うた.う to sing  うた song
渡,渡 cross  ト  わた.る to cross  わた.す to hand over
与,"与 grant  ヨ  あた.える to grant, give, bestow"
注,注 pour  チュウ  そそ.ぐ to pour
条,条 twig  ジョウ
演,演 performance  エン
算,算 calculate  サン
赤,赤 red  セキ  シャク  あか  あか.い  あか.らむ to turn red  あか.らめる to blush
備,"備 prepare  ビ  そな.える to prepare, to provide for  そな.わる to be furnished with"
独,独 alone  ドク  ひと.り
象,象 image; elephant  ショウ  ゾウ
清,"清 clean  セイ  ショウ  きよ.い clean, clear  きよ.める purify  きよ.まる be purified"
技,技 technique  ギ  わざ
州,州 state  シュウ  す sandbank
申,申 say  シン  もう.す to say
例,"例 example  レイ  たと.える to illustrate, to compare  たと.えば for example"
働,働 work  ドウ  はたら.く to work
景,景 scenery  ケイ
領,領 jurisdiction  リョウ
春,春 spring  シュン  はる
抜,"抜 extract  バツ  ぬ.く to extract, pull out  ぬ.ける to come / fall out; be omitted  ぬ.かす to omit  ぬ.かる to make a blunder"
遠,遠 far away  エン  オン  とお.い far
橋,橋 bridge  キョウ  はし a bridge
源,"源 source  ゲン  みなもと source, origin"
芸,芸 technique  ゲイ
影,影 shadow  エイ  かげ
型,型 model  ケイ  かた model; shape
絶,"絶 die out  ゼツ  た.える to die out  た.やす to eradicate  た.つ to sever, to cut off"
館,"館 building  カン  やかた castle, mansion"
眼,"眼 eye  ガン  ゲン  まなこ eye, eyeball"
香,"香 fragrance  コウ  キョウ  かお.り  かお.る to be fragrant  か scent, odour"
負,負 defeat  フ  ま.かす to defeat  ま.ける to be defeated  お.う to carry (on one's back)
福,福 fortune  フク
企,"企 plan  キ  くわだ.てる to plan, to undertake, to attempt"
旅,旅 trip  リョ  たび
球,球 ball  キュウ  たま
酒,酒 sake  シュ  さけ  さか-
君,君 you  クン  きみ
験,験 verification  ケン  ゲン
量,量 measure  リョウ  はか.る to measure
察,察 surmise  サツ
写,"写 photo  シャ  うつ.す to duplicate, to depict  うつ.る to be photographed"
望,望 wish for  ボウ  モウ  のぞ.む to wish for
久,久 long time  ク  キュウ  ひさ.しい a long time
婚,婚 marriage  コン
単,単 simple  タン
押,"押 push  オウ  お.す to push  お.さえる to check, to restrain"
割,"割 separate  カツ  わ.る to separate, to divide  わ.れる to split apart, to crack  わり proportion, 10%  さ.く to cut up"
限,"限 limit  ゲン  かぎ.る to limit, restrict"
戻,戻 return  レイ  もど.る to return  もど.す to send back
科,科 department  カ
